packageName,title,descriptionHtml,
com.iotsolutions.subzero,Subzero IoT,"Subzero IoT mobile app helps in Monitoring &amp; measuring in real time the Temperature, Humidity, Energy and other sensor values, output status , faults and setPoint control operation for various devices connected. Receive timely alerts of Excursions &amp; Incursions for the assets which went out of threshold on the go. These will help for taking precautionary &amp; necessary alternate measures for preserving products in cold storages/rooms safely.  Salient Features:·        Give your Business a boost &amp; peace of mind with &quot;Alerts &amp; Notifications&quot; on the go·        Scheduled reports &amp; Analytics to help management for decision making.·        Subzero IoT is a proactive cloud hosted platform, which supports any modbus based sub-zero controller.·        Dependable, Reliable &amp; Trusted Data Loggers for Recording &amp; presenting accurate data ·        Set the rules as per your Business needs &amp; assign it to designated users/role.    ·        Trouble free performance tracking &amp; data access of multiple assets for multiple users  ·        Track your device status with the help of real time alerts, SMS, Emails any time from any location. Supported Controllers:CRC1200, CRC2052, SZ7510C, PIC175, CRC2020, SZ4042C, DL-12CH, DL-24 CH",
com.ipsen.imo2,"Ipsen I-Mo
1.0.23","Die Ipsen I-Mo App (Ipsen Mobile Monitoring) erleichtert Ihnen die mobile Nutzung des Ipsen I-Mo Portals. Mit einem Klick auf Ihrem Smartphone oder Tablet steht Ihnen der gesamte Ipsen I-Mo Funktionsumfang zur Verfügung. Je nach Endgerät passt sich die Anzeige voll responsive der möglichen Bildschirmgröße an. So erhalten Sie immer den optimalen Überblick und genießen die volle Funktion auf allen Endgeräten.Die Ipsen I-Mo App bietet folgende Funktionen:* Anmeldung in Ihrem Ipsen I-Mo Konto und Nutzung aller lizensierten Funktionen* Ipsen I-Mo Push-Notifications für mobile Endgeräte*Ipsen I-Mo App bietet den vollen Funktionsumfang, wie beim Login in die Web-Anwendung* Responsive Design für optimale Anzeige auf mobilen Endgeräten (Smartphone, Tablet)Ipsen I-Mo Funktionen:* Visualisierung Ihrer Anlagen in verschiedenen Ansichten- Dashboard- Geräteübersicht- Stationsdetails- View- Landkarte- SCADA* Analyse- Ereignisse- Multi-Charts- Berichte*Alarmierung- Aktive Alarmliste- Alarmunterdrückung- Push-Notifications- Dienstpläne* Tools- Dokumentenmanagement- Handeingabe- FTP-Export- OPC-UA Schnittstelle* Systemkonfiguration- Fernwartung- Funktionsüberwachung- Fernwirken- Fernschalten / Parameter setzenSYSTEMVORAUSSETZUNG:* Ipsen I-Mo KontoNUTZUNGSBEDINGUNGEN:Die Nutzung dieser Anwendung unterliegt den Allgemeinen Geschäftsbedingungen der RSE Informationstechnologie GmbH https://www.rse.at/de/agb sowie den Datenschutzrichtlinien https://www.rse.at/de/datenschutzerklaerung.",
com.ipto.analytics,ipto Analytics,"Use ipto Analytics app from IPTO S.A., and get informed for the data of the Hellenic Electricity Transmission System, in a convenient and easy way. Subject areas that are covered include:•	The System Load where you can be informed for the Actual Load and for the Forecasted Load of current day•	The Total Energy Production Mix (Lignite, Natural Gas, Hydroelectric, RES) and the Interconnections Balance, per hour and per day•	The Cross Border Physical Flows with neighboring countries, including imports and exports of electricity per hour and per dayThe Independent Power Transmission Operator S.A. (IPTO S.A.) was established with Law 4001/2011 and is organized and operates as an Independent Transmission Operator in line with the provisions of EU Directive 2009/72/EC.The mission of IPTO is the operation, control, maintenance and development of the Hellenic Electricity Transmission System (HETS), to ensure the country’s supply with electricity in an adequate, safe, efficient and reliable manner, as well as the operation of the electricity market for transactions outside the Day Ahead Scheduling, pursuant to the principles of transparency, equality and free competition.Note: Measurements are based  on SCADA data, non certified",
com.isotrol.appcer,Bluence Mobile,"Bluence Mobile is the mobile application of Isotrol&#39;s Bluence SCADA, used to manage wind farms, photovoltaic plants and all kinds of renewable energy plants.Provides fast and secure access to useful information for the operation of renewable assets through Android devices.Bluence Mobile allows:•	Know the total amount of energy produced.•	Consult in detail the operation of each wind turbine, inverter, meter, substation, etc.•	Receive and manage alerts.•	Locate assets and devices on the map.•	View graphs of devices and assets behavior.•	Configure filters and data views: tables, graphs,•	Select assets and devices as favorites to specifically track them.•	Visualize real-time data and historical data",
com.isotrol.mobile,CER Notifier,"CER Notifier app is an extension of Isotrol´s monitoring and control platform.This app allows the user to be informed about the different events and alarms generated in real time from any of the renewable assets (photovoltaic plants, wind farms, biomass, hydro, etc.). This tool provides an instant visualization of the events, allowing the user to acknowledge an alarm and save it in the historical database. The capability to have all the alarms generated in the CER SCADA on a mobile device improves the decision making process by increasing performance and reducing response times. Moreover, every generated alarm comes with critical and useful information like: event name, type, severity, affected equipment, etc.",
com.itc.DostecAC,Dostec AC,"Mobile application to manage easily the smart dosing pump  Dostec AC.It allows to monitor real-time parameters such as flow rate, motor speed, pulse and sensor inputs, etc. It also allows to receive sms and emails alarms, configurable through the platform.Dostec AC dosing pump can work in different modes, according to the specific needs of each installation.Manual mode: manual flow adjustmentProportional mode: proportional dosing to a pulse input signal, e.g. flowmeter.Analog Mode: proportional dosing to a  0/4-20mA signal.Batch Mode: batch time or volume dosing.Modbus mode: dosing control through RS-485 and Modbus.The Dostec AC can operate according special dosing profiles:Low Flow (LF): allows a flow range between 1% and 100% of the nominal flow rate.Slow Suction (SS): increase efficiency when dosing viscous liquidsLow Pulsation: reduce the pulsation in the discharged flow",
com.kdtsys.cimon,Cimon,"&quot;CIMON&quot; app is a SCADA software for android users. This app monitors and controls &quot;CIMON-SCADA&quot; system. You can download and run the project that you made by &quot;Mobile Designer&quot; in your android now. 1. Visualable function - you can make your own project with &quot;Mobile Designer&quot;. - &quot;Mobile Designer&quot; offers you different type of tools such as ( line, multi-line, polygon, circle, arc, chord, fan, rectangle, round-rectangle, text, tag value, image. ) - Easy to make your own work-space environment - Various functions supported for monitoring - Registration for project logo- Decimal place value available2. Control function - Double touch(opt. Single) action (move page, write tag and etc.) 3. Security- To control and monitor your project, you must log in to your system.- Communication protocol encryption/decryption.- Control prohibited. (monitor only)- Registration for connectable android4. Alarms supported - The user can check out alarm history.#. New update - Navigation button added  - Alarm bug fixed - Horizontal shift fixed",
com.komeshelectronic.modicon,ModiCon,"ModiCon can connect Android Devices to Modbus-tcp Equipment as client. Modbus-tcp Equipment like Plc connect to modem-router directly and then app ready to network connection , if router connect to internet app can connect over  internet . app have 4368 Programmable tags in 3 Layer (Input,Coil, Register and menu) Layer 1 have 16 tags each contain 16 tag in Layer 2 each contain 16 tags in layer 3.the user can design the human machine interface on Android phone.",
com.ktcpl.mandar.ktcpl,Pristine SCADA,"Pristine is a SCADA software. It is installed in the plant to monitor the plant performance, diagnostics and other vital information of the plant. Top Managment is normally not interested to know the details of the plant, but they are interested to know the final performance on mobile screen. This app does the exact expected function. It shows the plant performance read time as well as historic data. Once this app is downloaded, any plant that is using Pristine can be monitored. Every plant is supplied with user name and password. Hence, only authorised person can monitor the plant.",
com.lewei.pm,IAMMETER Home Energy Monitor,"This app helps you monitor power consumed by using iMeter-WiFi (To purchase, please visit https://www.ebay.com/itm/131729182686) developed by us or use your own standard Modbus power meter and DTU device.The IAMMETER app is a tool of IAMMETER (https://www.iammeter.com), an online energy monitoring system developed by us.With centralized power monitoring, multi-level management and real-time alarm notification, this APP allows you to see real time statistics like voltage,current, power etc., historical data and energy analysis, which enables you to optimize your investment and save on energy expenses. It would like to help you make your house smarter and save energy. It can tell you exactly how much power you’re consuming in real-time, wherever you are.Key features of IAMMETER platform:•	Monitor your energy consumption online anytime from anywhere•	Quick connect iMeter-WiFi to the platform and start monitoring your power consuming by few steps of setup•	All other Modbus, RTU meters can be connected to the plarform by using DTU device•	Multiple choice to upload your power data: Ethernet/Wi-Fi/GPRS•	see real time statistics, historical data and energy consumption analysis, such as voltage, current, power, etc.•	Access your real-time energy data on cloud•	Open API enables perfect integration into corporate or personal websitesCustomer supportWebsite: https://www.iammeter.com                https://www.devicebit.comEmail: support@devicebit.com",
com.loungelizard.aercoedgebt,AERCO Edge,"AERCO’s Edge is a state-of-the-art controller that reduces cost of ownership for Benchmark Platinum boilers and makes start-up, operation and maintenance a breeze. Through advanced technology and cutting-edge features (including EZ Setup, Combustion Calibration Assist, and flow balancing), AERCO’s Edge Controller saves money by reducing install and start-up costs, simplifies start-ups and maintenance, and strengthens system performance by providing a new set of features that contribute to better system design and operation. Edge provides multiple platforms to stay connected, including Wi-Fi, Ethernet, Bluetooth and Modbus. Edge allows you to view unit and plant status, track performance and historical data, and configure, calibrate and troubleshoot from anywhere in the mechanical room.",
com.megatech.plantmis.android,PlantMIS,"With the PlantMIS app you have instant access to all your manufacturing plant information related to production, maintenance and energy.PlantMIS uses industrial IoT to connect to your shop floor equipment (PLCs, SCADA, meters, sensors) and aggregates the information on cloud. The data is analysed in real-time and exceptions are instantly alerted. Analysis of shift-wise, line-wise performance makes PlantMIS a powerful decision support tool for production teams. Historical and predictive analytics of machine health enables maintenance teams to maintain equipment efficiently and minimise downtime.The app enables you to•	View and analyse production performance and energy consumption •	Monitor machine health and proactively schedule maintenance•	Support O&amp;M teams with condition based guidanceTo be able to use the app, you need PlantMIS portal login, which is provided by your PlantMIS administrator if your company is registered on the portal.App features :•	View real-time production line-wise output•	View historical production output•	View machine health characteristics – vibration, temperature, etc•	View maintenance and downtime history•	View machine-wise or line-wise energy consumption•	View alerts based on pre-defined alert conditions•	View documents attached to each machine",
com.meti.pradeep.metiwalky,METI Walky,"METI – Walky is a Cloud based data capturing and Analytical Software Tool, developed in-house at METI, to monitor the process parameters like temperature, pressure, humidity, level, liquid flow, voltage, current, on/off status etc., anywhere…anytime... METI – SCADA is a one stop solution for on-line data monitoring, alerting, configuring, graph, printing, reports, analytics etc. This solution has architectural benefits like efficiency, security and improves operational agility of remote process management infrastructures.FeaturesAnywhere… Anytime... accessUser friendly dashboard to view real-time process dataDistributed multiple process site environmentsAnalyze history of Process data minute wise, hourly or monthlyAdvanced analytics, reports and operator graphicsOn-demand custom reports and analyticsAndroid App for smart phonesBenefitsPromotes and enhances consistency and compliance with procedures, regulations &amp; best practices. Automating the process of data collection and its meaning full analysis empowers an organization with an access to actionable information, whenever in need. The tool comes with the flexibility of combining different types of systems to provide hybrid solutions, both on new and existing systems/sites, as seamlessly gets integrated with existing Data loggers, RTU, PLCs, Recorders, Analyzers etc.",
com.milshtein.yaacov.IndustrialCommunication,Industrial Communication,"Easy interface to Run Modbus TCP server and TCP client over your mobile through Wifi.can check communication to other modbus devices as PLC, HMI, Scada.V2.03*graphic fixV2.0*modbus rtu address support.*stability issues*android 10 support*Future vision-add profinet communication ability, as soon as i get my hands on Siemens 300,1200 series.*AttentionThis application is intended for study purposes and yet allows you to connect to active factory systems and allows changing parameters that may cause mechanical or physical damage, please use wisdom and caution.The app manufacturer is not responsible for any mechanical or other physical damage.*special thank to Java Modbus Library (jamod)http://jamod.sourceforge.net/index.html",
com.missioncommunications.missionscada,123SCADA,"Mission Communications was first to use the digital control channel of the cellular network for monitoring, control, databasing, and automated alarm/status notification for fixed base assets in North America.Mission-managed SCADA is a turnkey system delivered through a Software as a Service (SaaS) model that enables customers to gain complete system monitoring. Mission provides and maintains everything customers need to control their system.With current wireless technology, the only constant is change. Mission customers can always take advantage of the latest hardware and wireless network breakthroughs with generous trade-in and upgrade policiesMission does not just manufacture hardware but also supplies the tools that provide customers with management information concerning their remote facilities and the people that maintain those facilities. The hardware simply gathers the information. Mission is continually upgrading its centralized management information services, which are immediately available via the Internet to all customers.Mission is committed to maintaining total customer satisfaction by providing the highest quality remote monitoring equipment and notification services, utilizing the most cost-effective wireless transport technology, and exceeding customer expectations.The choice to focus on the water and wastewater industries allows Mission to listen to customer suggestions and develop an intuitive and highly reliable service",
com.mitateknik.connect,CONNECT 24•7 SCADA App,"CONNECT 24•7 app is an addition to CONNECT247 which is Connected Wind Services web based wind turbine SCADA solution. The app enables you to connect to turbines or wind parks and monitor production, availability, alarms, weather conditions and more. It provides instant online access to wind turbines thus reacting to alarms and changing conditions.",
com.mitateknik.miscout,MiScout SCADA App,"MiScout SCADA App is an extension to MiScout Web SCADA solution enabling to connect to turbinesor wind parks and monitor production, availability, alarms, weather conditions andmore using smart phone. It allows to instantly be online with turbines thus reacting onalarms and changing conditions.Communication with MiScout Web server allows user to monitor online data coming from turbinesand parks and presenting historical data previously downloaded by MiScout Web.MiScout SCADA App also displays alarm notifications, in case it occurs, allowing user to takeimmediate decision including start/stop turbine directly from application.",
com.mobideo.guideapp,Mobideo App,"The Mobideo Platform is an integrated suite of applications covering the end-to-end processes related to the safe, compliant and efficient management of industrial workforces. It includes 3 main applications: 1) The Mobideo App 2) The Mobideo Control center 3) The Mobideo Optimizer. The Mobideo App enables workers to seamlessly access all the information they need to perform their work at the point-of-service. The Mobideo App aggregates all essential data from multiple sources and presents it to workers in the context and order that tasks should be performed. It guides workers through the work process, reduces the likelihood of human error, validates that work is performed by-the-book, and enables communication with managers and peers. The Mobideo App is fully operational both online and offline, on any mobile device (iOS, Android and Windows-based). The data is converged into the Mobideo App from existing process documentation materials such as SOPs, best practices and organizational knowhow; from IT systems such as ERP, EAM and PLM; and from OT systems such as SCADA and IIoT platforms.",
com.monogps.scadaapp,DRR SCADA,SCADA ย่อมาจากคำว่า Supervisory Control And Data Acquisition เป็นระบบตรวจสอบและวิเคราะห์ข้อมูลแบบ Real-time ใช้ในการตรวจสอบสถานะตลอดจนถึงควบคุมการทำงานของอุปกรณ์ต่างๆ,
com.nextys.mobile.powermaster,POWERMASTER,POWERMASTER is used to monitor and control Nextys device provided with Modbus communication.,
com.openarc.techcheck,Sporlan Tech Check,"The Sporlan Tech Check app provides a simple way to interface with the premier Sporlan S3C Case controller solution. The user will be able to view case parameters, process values, graph selected sensors, and allow temporary override of EEVs, EEPRs and solenoids.Contractors and technicians will be empowered to easily troubleshoot a case without unloading product or bringing in equipment.Features:• View current operation values• Allows graphing all view-able points• View/Override selected readings and outputs with a timeout• Exporting of controller data to a CSV fileThe Sporlan S3C Series of case control products provides safety, security, and service for remote and self contained refrigerated display appliances (single or multiple coil). The S3C family of controls includes a case controller, display module, and valve module that all support open protocol communication via BACnet and Modbus. The system is designed to facilitate both installation and integration by the refrigerated appliance OEMs as well as retrofit into existing supermarket refrigeration control installations. When enabled, the controller provides automated configuration and network integration. The Sporlan S3C Case control solution is offered for sale from Sporlan Division of Parker Hannifin.About Sporlan Division:From the 1947 launch of the Catch-All®, the world’s first molded core filter-drier, to today’s intricate electronic valve and controller packages, for over 80 years Sporlan has set the industry standard for the development and manufacture of leading edge HVACR components.About Parker Hannifin:Founded in 1918, Parker Hannifin Corporation is the world’s leading diversified manufacturer of motion and control technologies and systems, providing precision-engineered solutions for a wide variety of mobile, industrial and aerospace markets.",
com.opto22.opto_aPAC,Opto aPAC,"Industrial automation and control systems are in your hand with Opto aPAC.With a touch you can discover all your SNAP I/O points, SNAP PAC controller variables, tables, charts, and more. Set up watch lists, monitor and change values, turn points on and off, even start and stop your control program. Ideal for commissioning, debugging, responding to alarms, and mobile connectivity to remote systems. Look what you can do:•	Automatically discover all Opto 22 devices on your network.•	Save the devices you want to monitor in named lists.•	See digital point status. Turn digital outputs on or off.•	View analog point values. Write values to analog outputs.•	View and change all tags: control variables, table elements, charts, I/O.•	Create watch lists for the tags you want to monitor.•	See controller status, firmware version, and strategy data.•	Stop or run the current strategy. Start and stop charts.•	Search globally for device name, IP address, firmware, strategy, and watch list tags.Requirements:•	Android version 4.0•	Opto 22 SNAP PAC programmable automation controller and/or SNAP I/O units. Also works with older I/O units like mistic I/O or SNAP Ethernet I/O that are attached to a SNAP PAC controller.•	A secured wireless LAN network with access to controller and I/O network. FTP passwords should be added to individual devices using PAC Manager. Wireless versions of PACs and I/O are not required. Compatible with wireless routers and VPNs. Supports port forwarding.PLEASE NOTE: Opto aPAC is a specific and specialized application for interacting with Opto 22 controllers and I/O. You must have Opto 22 control system hardware to benefit from this application. Please do not purchase and download this app if you’re not familiar with Opto 22 control systems.Not sure whether this app will work for you? Call Opto 22 Pre-Sales Engineering at 800-321-6786 or +1-951-695-3000. Pre-sales engineering is free.About Opto 22Industrial and commercial businesses, OEMs, and automation system designers have used Opto 22 products for more than 35 years to monitor, control, and get data from all kinds of machines and devices.•	Our solid-state relays and I/O modules are famous for their reliability. Most are guaranteed for life.•	Opto 22 controllers communicate over standard networks using open protocols.•	Our systems can exchange data with company databases, Allen-Bradley PLC systems, Modbus systems, OPC clients.•	Opto 22 products are manufactured and supported in the U.S.A. Product support is free.Opto 22 Website: http://www.opto22.comProduct Support: http://support.opto22.comQuick Start Guide: http://op22.co/IF5unZ",
com.OTAS.Modbus,Modbus TCP IP 5 Tags - SQL Server,"Modbus TCP IP 5 Tags is a utility to retrieve Coils,Inputs,Holding register and Input register from Modbus enabled device.Values retrieved from the device can be viewed in different format as IEEE standard 754 Floating-Point.Modbus TCP IP 5 Tags - SQL server:1-Read Modbus register up to 5 tags (run in &#39;Parallel&#39;).2-Save your values in SQL server database.3-Use saved data in database in other software.4-No registration or email address required.5-No expiry , restart , or limitation on how long you use it for.NEED MORE TAGS?You can contact us to got this application with more tags.Please don&#39;t hesitate to inform us if your budget is not enough to got this item for free.",
com.petadev.trininlabs,Trinin Labs SMU,"Érd el SCADA felületünket közvetlenül a kezdőképernyődről, kényelmesen és gyorsan! A Trinin Labs SMU alkalmazás segítségével, könnyedén ellenőrizheted cégünk által biztosított eszközeidet, azok állapotát és funkcióit egyaránt. Az értesítés funkciónak köszönhetően sosem maradsz le újdonságainkról és a fontos információkról. Alkalmazásunk kompatibilis az összes TrininLabs általt forgalmazott elektronikával.",
com.polytropic.PolytropicPro,Polyconnect Pro,"More than just an ordinary heat pump management tool, PolyConnect communicates directly with the POLYTROPIC Technicenter and allows the secure remote management of heat pumps: supervision, preventive maintenance, and ease of maintenance.SIMPLIFIED IMPLEMENTATIONA WiFi box is installed as standard inside all our Inverter PACs (marketed from 2022), and easily accessible. From 2023 an option 4G is available.When user connect his machine and allow the professional to access to it, professional can access remotely to the machine.REMOTE MANAGEMENTA real preventive maintenance tool, the information is transmitted to allowed professional which can then anticipate any problems remotely, access the parameters and adjust, optimize, or even update the heat pump.The Modbus connection allows access to all the heat pump parameters and modification in &quot;direct mode&quot;.PROACTIVITYThanks to the feedback of error codes, the professional can remotely trigger an appropriate after-sales service procedure immediately, even before the user of the pool notices a possible problem or its consequences.EXPERT TIPSThe TechniCenter is at your disposal for advice on the rational management of your pool fleet and possible energy savings .EFFICIENCYPolyConnect is linked to the POLYTROPIC TechniCenter and allows our technicians to visualize the entire fleet of heat pumps as well as the status of each machine.In the event of an error code, they can access the device settings via their secure interface to resolve the fault. No need to send a technician to the installation to see what the problem is, to collect simple information or to adjust the devices.POLYCONNECT IS A SECURE, FREE AND ERGONOMIC APPLICATION.It allows remote control of the heat pump via a smartphone or tablet thanks to an intuitive interface: status of the machine, water temperatures, outside temperature, operation of the filtration pump, heating setpoint temperature, choice of operating mode, alerts, programming of operating ranges...In order to ensure a complete follow-up, all the data of the heat pumps connected to PolyConnect are stored for 5 years:• the history of all alarms• internal sensor temperature probes• the operating time of compressors, pumps, etc.• user settingsPolyConnect was developed by our internal services and all our servers are based in France (GDPR law respected).Thanks to a solid partnership PolyConnect is compatible with other equipment and offers the possibility of remotely managing water treatment with salt or chlorine via the mobile application, presenting the same functionality and history as for Polytropic heat pumps.",
com.reonix.BitcoinMqtt,Mine Manager - SCADADroid®,Mine Manager - SCADADroid®,
com.reonix.dashboard,SCADADroid® Portal,"Have the ability to monitor data on your SCADADroid remotely through your smartphone. A lightweight, secure application for monitoring and changing the data, status and alarm variables from your SCADADroid. This application has the ability to subscribe to Reonix&#39;s own cloud-based MQTT server or one of your choosing.",
com.reonix.scadadroid,SCADADroid®,"Have the ability to monitor data on your SCADADroid remotely through your smartphone. A lightweight, secure application for monitoring and changing the data, status and alarm variables from your SCADADroid. This application has the ability to subscribe to Reonix&#39;s own cloud-based MQTT server or one of your choosing.",
com.riello.riello_monitorizacion,Riello Solar Monitorización,"La aplicación permite a los clientes de Riello acceder de una forma rápida, sencilla y desde cualquier parte al SCADA de su planta fotovoltaica.Desde pequeñas instalaciones de autoconsumo a grandes mantenedores de varias plantas, esta aplicación muestra todos las lecturas de su sistema, así como el acceso a diferentes gráficas y alarmas.",
com.riotscada.login,Riot Scada,"RIOT is an Industry 4.0 SCADA Solution that puts all of your production data at your fingertips.  RIOT uses the latest MQTT at the Edge technology and can integrate with any PLC, POC, or ESP so you can see every well and facility in one location.",
com.rittmeyer.ritapp,RITAPP,"RITAPP gives you a quick overview of the condition of your plant on your mobile device.With the RITAPP, you can see alarm messages or important plant data and can decide immediately whether an operator intervention or a service visit on site is required. You are always notified of alarm messages by push notifications. You can operate selected aggregates or setpoints directly from the mobile device.The RITAPP connects to your RITOP control system via a secure connection.All functions at a glance•	Notification of plant alarms via push messages•	Map view of the buildings with collective alarm function•	Direct acknowledgement of alarms•	Operation of selected aggregates and setpoints•	Trend chart for selected measured values Further information about RITOP SCADA-System:https://www.rittmeyer.com/produkte/ritopContact: https://www.rittmeyer.com/en/e-mail",
com.saba.admin.rmc.rmcplanctproduction,RMC Production Trace,"RMC Production Trace application is very useful for the RMC plant supervisor or owner to know the production details. This also let user to know the material used in production and keep the user always connected from remote place to supervise the production &amp; material management. This is a product with add-on feature to the customer of live-scada/bmc-scada from SABA Technosoft.For any queries or feedback, do feel free to contact us at webmaster@sabatechnosoft.com",
com.sas.rmmb,Rmmb,SMART KWHMETER WITH RS485 (MODBUS) − RM-MB -20A QR Code scan application.,
com.scadacore.aga.gas.flow.calc,SCADACore AGA Gas Flow Calculator,"SCADACore AGA Gas Flow Calculator allows users to calculate flow through an Orifice Meter. The App provides AGA 8 composition compressibility calculations, AGA 3 gas flow calculations, and AGA 7 gas flow through turbine calculations.Both metric and imperial measurement units are available when inputting data in the app (touch on a unit of measurement to change it). Values entered in all inputs will be remembered after the app is closed. The app also allows users to generate a report containing the inputs and results of the flow calculation, which can then be shared as a PDF file.",
com.scadacore.live,SCADACore Live,"SCADACore Live App provides SCADACore clients with mobile access to real-time production and operational data, trending, alarms, historical data, HMI, and more.Based on SCADACore Live, an enterprise Web SCADA / IoT SaaS platform used worldwide, the SCADACore Live App delivers a modern user-interface with exceptionally fast loading times.• View and analyze data and trends anytime, anywhere• Retrieve and view historical data without limit• Monitor and control remote sensors and devices• Directive 017 compliantSCADACore Live is a powerful and flexible system that is trusted by Oil and Gas companies, HSE companies, Government Agencies, Militaries, and more. See why companies are using and switching to SCADACore at www.scadacore.com.Note: SCADACore Live App requires a SCADACore Account.",
com.schmersal.psc1.configurator,PSC1 Configurator,"Convenient planning tool: The PSC1 ConfiguratorSchmersal&#39;s PSC1 Configurator is an online tool that is available 7 x 24 hours. It enables the machine manufacturer and machine user to configure a safe sequence control system easily and quickly to suit for the individual requirements of their plants. The PSC1 Configurator is self-explanatory, easy to use, and generates a comprehensive planning structure for design engineers in just a few minutes. It is available as a web version or can be used conveniently with tablets via the App.Based on a selection of safety sensors and outputs, the planning tool automatically combines the optimum (also pricewise) PSC1 Schmersal safety control system, and also indicates how much space is required by the respective configured module(s) on the top-hat rail. Simultaneously, the PSC1 Configurator generates a parts list with item description, material number, and equipment details. This parts list is linked to Schmersal&#39;s online catalog, so that additional information on the equipment can be called if necessary. The parts list can be saved as an Excel or PDF file, and sent to Schmersal directly via e-mail, who will then provide an offer specially tailored to the user&#39;s needs. In this way, the PSC1 Configurator ensures simple and fast order processing.Various field bus protocols availableThanks to its modular approach, the PSC1 sequence control system permits machine safety functions to be adapted the most varied applications. Core components of this sequence control system are freely programmable compact controllers (PSC1-C-10), whereby IO extension modules for safe signal processing of different safety switches are available. By means of a universal communications interface, the user can select different field bus protocols easily via software. Consequently, the same hardware can establish a communication link to all conventional field bus systems. The following field bus protocols are selectable in the PSC1 Configurator: PROFINET, PROFINET PROFIsafe, EtherCAT, EtherCAT FSOE, Profibus, Profibus ProfiSafe, and Ethernet IP.In addition, the universal communications interface of the PSC1 provides a serial diagnosis gateway for the connection of diagnostic signals from safety switching devices with integral SD interface. The SD gateway converts the serial diagnostic signal from the sensors and guard locks to suit the selected field bus protocol.Moreover, the user can install an optional SD memory card, with which the configured programs can be saved. For example, this eliminates the need for re-programming in case the hardware must be replaced.And finally, the PSC1 Configurator permits the safety system for an additional machine or a decentralized automation concept to be planned. By means of the &quot;Topology&quot; function, the configurator visualizes how the sequence control systems of both machines are connected.The PSC1 Configurator is available in the following languages: English, German, French, Spanish, Italian, Portuguese, Japanese, and Chinese.",
com.schneidertcc.android.apps.mobilescada,Geo SCADA Mobile,"The efficient way of monitoring and controlling your Geo SCADA system remotely.Geo SCADA Mobile, coupled to Geo SCADA, a Schneider Electric product, provides remote access to data within your SCADA system, allowing users to monitor performance while &quot;on the move&quot;. It also improves staff productivity and enhances overall system performance: an easy way to add value to your organisation!Fully compatible with ClearSCADA. Use GeoSCADA Server to take advantage of new features.Alarms and Events* Alarm actions such as acknowledge, disable and enable. Actions logged to the Geo SCADA event journal.* View alarm and event lists.* Alarm notification.Mobile &quot;Displays&quot;* Summary data displays for &quot;at a glance&quot; understanding of system performance.* Available as a shortcut from alarms or database hierarchy, where configured.Database* Browse the Geo SCADA database.* View object status at any level.* Display filtered alarm and event lists based on database hierarchy.Data Visualization* Display historic data trends for points; optimized for mobile connectivity.* Display custom database queries; useful for Key Performance Indicators (KPIs).Controls* Perform controls on selected points in the Geo SCADA database.* Actions logged to the Geo SCADA event journal.User Favorites* Customize the app for easy retrieval of your commonly used views.Security* Integrated security with Geo SCADA.* Additional security measures for communications outside of the SCADA firewall.Location* Update your user location in ClearSCADA (Requires ClearSCADA 2017 R1)Search Database* Search the database&#39;s objects by object name. From the resultset, navigate back into the database to view events, alarms, status information and select Mobile Methods.Mobile Methods* Configure object methods on the Geo SCADA server, to be selectable on the mobile app and/or ViewX client.Contact your local Schneider Electric sales channel to provide this functionality for your Geo SCADA system(s).NOTE: This application does not communicate directly with the Geo SCADA server, so additional software is required to enable this. The additional software can be found on the Geo SCADA installation media.",
com.sector_gaza.modbus_viewer,Modbus Viewer,"1. Serial App.Support chip PL2303. While only for writing. Reading not available(maybe I&#39;ll add reading in next version).2. Modbus tcp/ip App. Application allow to retrieve data from devices through protocol modbus tcp/ip. A scanner makes it easy to find relevant addresses.Support functions:- 01 Coil status (0x)- 02 Input status (1x)- 03 Holding registers (4x)- 04 Input registers (3x)- 05 Write single coil- 06 Write single register(type -32000...32000)- 15 Write multiple coils- 16 Write multiple registers(type -32000...32000)- My requestPlease, contact me if you find some bugs.",
com.sensorseer.anuraco.app,Anuraco SensorSeer,"SensorSeer is a universal handheld meter app for measuring, recording, and sending data from digital sdi12 or modbus protocol sensors. How does it work?Combine with Anuraco BLE-485 Adaptor and your cellphone or tablet becomes a meter for sdi12 or modbus sensors.+ set BLE-485 adaptor baud rate, parity, name and security password+ can integrate with custom sensor types+ security feature locks device for data protectionYou can label your adaptor, set baud rate, parity, battery change date for your adaptor, as well as security settings which allow for locking/unlocking of your device. General devices supported:+ Digital sensors with RS485 and MODBUS or SDI12 sensors communication.Specific sensors supported:+ PT2X, pressure temperature sensor.+ CT2X, conductivity temperature sensor.+ LevelScout, pressure temperature sensor+ TempHion, temperature pH sensor+ T8, thermistor sensor",
